month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,21107,"hopkins, ky",179900,0,0.411,60,0.1321,-0.4783,30.5,0.016666667,-0.515873016,44,0.375,0.1,0,,,12,-0.25,-0.5714,30,-0.0909,-0.0323,103.452381,0,0.2256,1709,0.0041,0.0077,269241.3706,-0.0072,0.4365,90,0.0465,-0.3836,0.5,-0.1226,0.2304
202108,13175,"laurens, ga",189000,0.2608,0.0222,85,-0.1327,-0.4295,55.5,0.3875,0.132653061,72,0.5,0.125,0,-1,,12,0.5,-0.4,159,0.1866,0.963,86.57531301,0.2011,0.1082,1708,0.0675,-0.091,193784.0537,0.1467,-0.0269,244,0.0517,0.0609,1.870588235,0.5032,1.327
202108,31153,"sarpy, ne",387000,0.032,0.1078,231,0.0596,-0.3362,40.5,0.065789474,-0.235849057,232,0.0943,0.1154,8,-0.6667,-0.8824,48,0.0909,-0.1429,847,-0.0462,0.0522,154.5412676,0.0165,0.0819,2400.5,-0.0194,-0.0344,400902.7129,0.0008,0.0855,1078,-0.0253,-0.065,3.666666667,-0.4067,1.3534
202108,26111,"midland, mi",234450,-0.0622,0.0193,141,-0.0724,-0.1754,33.5,0.155172414,-0.118421053,124,0.069,0.4762,0,-1,,72,0.3846,0.5,272,-0.1111,-0.0748,139.6605744,-0.0331,0.2185,1800,0,-0.064,303809.2816,-0.0822,0.0753,413,-0.0983,-0.1118,1.929078014,-0.0841,0.2098
202108,42081,"lycoming, pa",179950,0.0025,0.0402,142,0.0143,-0.2755,35.5,0.543478261,-0.342592593,72,-0.3571,-0.1818,0,,,64,-0.0588,-0.2,65,0.2037,-0.6328,105.4921268,0.0136,0.0321,1792,0,-0.0303,240116.1872,0.0083,0.0262,207,0.067,-0.445,0.457746479,0.072,-0.4453
202108,22055,"lafayette, la",319950,0.0598,0.2798,528,0.0038,-0.472,56.5,0.255555556,-0.226027397,224,-0.1642,-0.1385,12,-0.25,-0.6667,148,-0.075,-0.4478,725,-0.0082,0.0741,151.8292683,0.0082,0.1664,2098,-0.0155,0.049,494575.571,0.0255,0.3601,1253,-0.0032,-0.2519,1.373106061,-0.0166,0.6981
202108,41029,"jackson, or",522494.5,-0.0048,0.0908,454,0.0784,-0.1303,42.5,0.08974359,-0.279661017,288,-0.122,0.2857,4,-0.6667,-0.5,208,0.3684,0.4857,565,-0.0615,-0.1776,270.4083106,-0.0031,0.2062,1857,0.0005,-0.0946,703004.1832,-0.0096,-0.0048,1019,-0.0039,-0.1572,1.244493392,-0.1854,-0.0716
202108,40109,"oklahoma, ok",297858.5,-0.0071,-0.0071,1345,0.1199,-0.288,38,0.027027027,-0.269230769,984,0.0207,0.1131,24,-0.4545,-0.8776,512,0.0667,-0.195,1881,-0.0126,-0.1144,147.4001429,-0.0007,0.0919,1990,-0.0245,-0.1264,441477.384,-0.0436,0.0205,3226,0.0386,-0.1961,1.398513011,-0.1877,0.2741
202108,42027,"centre, pa",294450,-0.0937,-0.0346,194,0.0374,-0.366,43.5,-0.011363636,-0.236842105,104,-0.381,-0.2778,0,,,56,0.2727,-0.3,251,-0.004,-0.0634,157.409122,-0.0445,-0.0038,1858.5,0.0494,-0.042,373484.3205,-0.0399,0.025,445,0.0137,-0.2247,1.293814433,-0.0538,0.418
202108,42111,"somerset, pa",159900,0.0316,0.0451,176,0.1579,-0.3846,45,0.046511628,-0.457831325,68,-0.2273,-0.1905,0,-1,-1,64,0.7778,0.6,110,0.1458,-0.2466,88.97714905,0.0183,0.2115,1515,-0.0472,-0.1313,266684.3329,-0.0216,0.169,286,0.1532,-0.338,0.625,-0.0066,0.1145
202108,12001,"alachua, fl",277500,-0.0089,-0.026,617,0.1157,-0.209,45,0,-0.210526316,348,0,0.2985,20,-0.1667,-0.7059,168,-0.2075,-0.087,730,-0.0748,0.0961,168.0645526,0.0171,0.1025,1666.5,-0.0092,-0.0595,424023.602,0.0014,0.2092,1347,0.0037,-0.0685,1.183144246,-0.2436,0.3293
202108,17143,"peoria, il",111945,0.0672,-0.1037,485,0.0041,-0.3507,42.5,0.148648649,-0.227272727,232,-0.2468,-0.1594,0,-1,,196,0.1951,-0.2576,445,-0.0045,0.0206,76.53844687,0.0346,0.0572,1600.5,0.0091,-0.0875,200055.4406,-0.0062,0.0623,930,0,-0.2139,0.917525773,-0.0079,0.3339
202108,15009,"maui, hi",1175000,0.05,0.4724,363,-0.0879,-0.6736,66.5,0.072580645,-0.269230769,168,0.05,-0.4615,8,1,1,60,0,-0.6341,378,-0.127,0.2558,785.7399425,-0.0017,0.0821,1550.5,0.0476,0.4277,2504897.868,0.0251,0.6027,741,-0.1083,-0.4756,1.041322314,-0.0466,0.7706
202108,51031,"campbell, va",267400,-0.0096,-0.0934,69,0.1897,0.1129,45.5,0.166666667,-0.241666667,52,0.8571,0.625,0,,,24,0.2,0.5,77,-0.1895,0.1,139.3624947,0.0585,0.0813,1796,-0.0022,-0.1087,299918.2162,-0.0433,-0.1248,146,-0.0458,0.1061,1.115942029,-0.522,-0.0131
202108,51199,"york, va",412500,0.0077,0.1304,141,-0.0408,-0.3318,27,0.038461538,-0.372093023,80,-0.3333,-0.1667,0,,-1,28,-0.125,0.4,45,0.0227,0.4516,177.7083333,0.0105,0.0724,2336,0.0157,0.1124,480355.1086,0.0047,0.1162,186,-0.0262,-0.2314,0.319148936,0.0198,0.1722
202108,39007,"ashtabula, oh",161200,-0.0512,0.0754,146,0.0896,-0.2772,43,0.228571429,-0.402777778,84,0,-0.087,0,,-1,44,0.375,0,201,0.0579,-0.0147,87.96756975,-0.0905,-0.0524,1596,0.0179,0.0668,266744.2337,0.0241,0.3625,347,0.071,-0.1453,1.376712329,-0.0412,0.3668
202108,35049,"santa fe, nm",697500,0.0123,0.0747,371,0.06,-0.318,44.5,0.05952381,-0.282258065,236,-0.0328,0.0351,4,-0.5,-0.5,112,0.4737,-0.0968,452,0.0635,0.0367,297.0002746,0.0274,0.1181,2282.5,0.0122,0.0042,1316834.205,0.0187,0.2719,823,0.0619,-0.1602,1.218328841,0.004,0.4169
