month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,95901,"marysville, ca",,359950.5,-0.0001,0.1252,38,-0.0732,0.0857,47.5,0.826923077,0.158536585,36,0.125,-0.1,0,-1,,8,-0.3333,1,79,0,-0.1124,242.508851,0.0305,0.3308,1472,-0.0503,0.0251,434866.7519,-0.0169,0.0921,117,-0.025,-0.0565,2.078947368,0.1521,-0.4639
202108,75071,"mckinney, tx",,479950,-0.002,0.1568,98,-0.125,-0.5075,33,0.064516129,-0.214285714,104,-0.1034,-0.1034,4,-0.75,-0.8889,24,-0.25,-0.6667,201,0.0308,-0.078,196.5926736,0.0013,0.2338,2365.5,-0.0265,-0.1712,614171.0754,0.0057,0.1082,299,-0.0261,-0.283,2.051020408,0.3099,0.9555
202108,77807,"bryan, tx",*,269855,-0.0995,-0.2288,70,0.2281,,32.5,-0.071428571,-0.634831461,36,0.125,-0.3571,4,,,0,-1,-1,133,0.0076,2.5,156.7872305,-0.0406,-0.0203,1783,-0.0842,0,385796.2904,-0.128,-0.3346,203,0.0741,-0.0287,1.9,-0.4158,1.6778
202108,19137,"philadelphia, pa",*,234949.5,-0.0169,,27,0.2857,,31.5,-0.357142857,,16,1,3,0,,,8,-0.6667,,18,-0.1818,5,183.6235809,0.0235,-0.0008,1266,-0.0109,-0.0321,238351.319,-0.0183,-0.0558,45,0.0465,4,0.666666667,-0.381,0.1667
202108,85373,"sun city, az",,344950,0.0146,0.1693,22,0,-0.3333,24,-0.142857143,-0.314285714,32,0.1429,-0.2727,0,,,16,0.3333,0,54,0.0588,-0.2603,188.1533856,-0.0238,0.1791,1782,-0.0246,-0.0246,351070.8675,0.0033,0.1938,76,0.0411,-0.283,2.454545455,0.1364,0.2424
202108,63348,"foristell, mo",*,318900,-0.3286,,23,0.6429,,17.5,-0.708333333,,8,-0.5,1,0,,,4,-0.5,,22,-0.0435,-0.2667,161.758794,0.0084,-0.0395,1994,-0.1692,-0.1457,383308.3333,-0.1842,-0.2045,45,0.2162,0.0714,0.956521739,-0.6863,-1.5435
202108,66032,"garnett, ks",,104999,-0.25,-0.4324,16,1.2857,0.0667,26,0.238095238,-0.59375,12,0,2,0,,,12,,2,25,0.1364,1.5,80.0502021,-0.2151,-0.1,1430,0.0185,-0.0467,152867.9411,0.0426,-0.4881,41,0.4138,0.64,1.5625,-1.5804,0.8958
202108,89423,"minden, nv",*,799000,0.1881,,17,0.2143,-0.32,25,0,-0.712643678,16,0,0.3333,0,,,12,,2,23,-0.1481,-0.5577,346.8254072,0.0596,0.3328,2149.5,0.0354,-0.0972,871043.2178,0.2285,0.3598,40,-0.0244,-0.4805,1.352941176,-0.5756,-0.7271
202108,87525,"taos ski valley, nm",*,812000,0.3556,,14,-0.0667,-0.4815,138.5,0.214912281,-0.150306748,0,-1,-1,0,,,0,,,15,0.5,0,501.6233766,0,0.2929,1623,0.7102,0.7699,959829.8319,0.0626,0.7755,29,0.16,-0.3095,1.071428571,0.4048,0.5159
202108,6249,"lebanon, ct",*,390000,0.0003,,14,-0.3636,,53,1.304347826,0.152173913,4,-0.8,-0.75,0,,,4,-0.5,0,27,0.2273,,176.880531,0.0139,0.0045,1957.5,-0.0679,0.2143,564935.6865,0.1209,1.0785,41,-0.0682,0.7083,1.928571429,0.9286,1.9286
202108,49938,"ironwood, mi",,128500,0.1184,0.2851,22,-0.2143,-0.3125,58,0.288888889,0.035714286,8,0,-0.3333,0,,,0,-1,-1,11,-0.2143,-0.3889,86.23526186,0.3024,0.2504,1356,0.003,0.066,207977.3148,0.267,0.3089,33,-0.2143,-0.34,0.5,0,-0.0625
202108,30047,"lilburn, ga",,338750,0.0235,0.0394,164,0.2615,-0.1038,28.5,0.1875,-0.43,172,-0.0652,0.3438,4,-0.6667,-0.5,60,-0.0625,-0.0625,245,-0.1581,0.0082,140.3992748,-0.0279,0.1844,2084.5,0.0641,-0.1271,378019.088,0.0636,0.1047,409,-0.0285,-0.0399,1.493902439,-0.7446,0.166
202108,77422,"brazoria, tx",*,237500,-0.0302,0.2507,37,0.1212,-0.26,51.5,0.119565217,,16,0,0,0,,,8,0,-0.3333,24,0.0435,0.3333,139.2906048,0.0617,0.0685,1572,-0.0698,-0.078,263198.7474,-0.0039,-0.0053,61,0.0893,-0.1029,0.648648649,-0.0483,0.2886
202108,33043,"big pine key, fl",*,887000,-0.0089,,45,0.2857,0.0227,49.5,0.375,-0.514705882,8,-0.5,0,0,,,8,0,-0.3333,26,0.1818,-0.3158,603.0136517,0.0804,0.438,1372,-0.0412,0.1029,1098657.818,-0.0771,0.6319,71,0.2456,-0.1341,0.577777778,-0.0508,-0.2859
202108,39819,"bainbridge, ga",*,235000,0.0217,0.1756,19,-0.0952,,92,-0.08,0.164556962,12,0.5,0,0,,,0,-1,-1,22,0.0476,0.2222,117.4668029,0.0042,0.1527,1945.5,0.0387,-0.138,250061.3636,0.1137,0.0269,41,-0.0238,-0.1458,1.157894737,0.1579,0.5579
202108,1566,"sturbridge, ma",,510000,0,0.1111,17,0.1333,0.2143,68,0.307692308,0.581395349,4,-0.6667,-0.5,0,,,0,,-1,1,-0.6667,-0.6667,255.532429,0.0205,0.2691,1898,0,-0.1591,511390.625,-0.0002,0.174,18,0,0.0588,0.058823529,-0.1412,-0.1555
202108,46802,"fort wayne, in",,219900,-0.1539,0.0233,26,0.3,0.7333,41,-0.046511628,-0.196078431,12,0,0.5,0,,,8,1,0,2,1,1,133.9311246,-0.0949,0.1187,1997,-0.0148,0.1125,310942.5926,-0.071,-0.219,28,0.3333,0.75,0.076923077,0.0269,0.0103
202108,23230,"richmond, va",,414925,0.143,-0.0269,15,-0.2857,-0.1176,54.5,1.270833333,0.184782609,4,-0.6667,-0.6667,0,,,0,-1,-1,41,-0.0465,0.1081,215.7912125,0.0244,0.0349,1575,0.0287,-0.2298,393255.3623,0.0806,-0.0649,56,-0.125,0.037,2.733333333,0.6857,0.5569
202108,1473,"westminster, ma",,612450,0.3343,0.2563,16,-0.0588,-0.3043,29.5,0.84375,-0.611842105,20,0.6667,0.25,0,,,0,-1,-1,6,2,0.2,261.9705341,0.1952,0.2983,2172,0,-0.0939,545754.9632,0.0732,0.1874,22,0.1579,-0.2143,0.375,0.2574,0.1576
202108,2822,"exeter, ri",,494950,-0.124,0.1787,14,0.4,-0.1765,22.5,-0.375,-0.391891892,8,0,-0.3333,0,,,4,,,15,0,-0.1176,285.2800901,0.0094,0.2502,1984,-0.0317,-0.0552,547434.1026,-0.1751,-0.0737,29,0.16,-0.1471,1.071428571,-0.4286,0.0714
202108,23322,"chesapeake, va",*,474900,-0.032,0.0918,130,-0.0647,,23.5,-0.06,-0.096153846,84,-0.3226,-0.3636,4,-0.5,-0.8333,32,0.1429,0.1429,0,,-1,191.3189831,-0.0033,0.131,2508,-0.004,-0.0354,504077.6421,-0.0269,0.0664,130,-0.0647,-0.3401,0,0,-0.0051
